dataset,seed,model,probability_calibration,defer_cost,mondrian_cost,mondrian_abstain,threshold_cost,cost_diff,cost_diff_ci_lo,cost_diff_ci_hi,p_mondrian_cheaper,mondrian_wins
uci_default,19,logreg,sigmoid,0.5,0.582,0.6176666666666667,0.7835,-0.2015,-0.23659375000000002,-0.16765625,1.0,True
uci_default,19,logreg,sigmoid,1.0,0.8908333333333334,0.6176666666666667,0.7835,0.10733333333333334,0.07265,0.14019166666666663,0.0,False
uci_default,19,logreg,sigmoid,2.0,1.5085,0.6176666666666667,0.7835,0.725,0.6879833333333333,0.7603375,0.0,False
uci_default,19,logreg,isotonic,0.0,0.125,0.781,0.7833333333333333,-0.6583333333333333,-0.6728375,-0.6431666666666667,1.0,True
uci_default,19,logreg,isotonic,0.5,0.5155,0.781,0.7833333333333333,-0.2678333333333333,-0.2798333333333333,-0.25449583333333337,1.0,True
uci_default,19,logreg,isotonic,1.0,0.906,0.781,0.7833333333333333,0.12266666666666666,0.11133333333333334,0.1348375,0.0,False
uci_default,19,logreg,isotonic,2.0,1.687,0.781,0.7833333333333333,0.9036666666666666,0.8865,0.9195083333333333,0.0,False
uci_default,19,rf,none,0.0,0.2935,0.5246666666666666,0.7243333333333334,-0.43083333333333335,-0.463175,-0.3965,1.0,True
uci_default,19,rf,none,0.5,0.5558333333333333,0.5246666666666666,0.7243333333333334,-0.1685,-0.19825833333333334,-0.1372479166666667,1.0,True
uci_default,19,rf,none,1.0,0.8181666666666667,0.5246666666666666,0.7243333333333334,0.09383333333333334,0.063325,0.12533333333333332,0.0,False
uci_default,19,rf,none,2.0,1.3428333333333333,0.5246666666666666,0.7243333333333334,0.6185,0.5831625,0.6526708333333333,0.0,False
uci_default,19,rf,sigmoid,0.0,0.30783333333333335,0.5171666666666667,0.7328333333333333,-0.425,-0.44950416666666665,-0.39932083333333335,1.0,True
uci_default,19,rf,sigmoid,0.5,0.5664166666666667,0.5171666666666667,0.7328333333333333,-0.16641666666666666,-0.18858541666666667,-0.14299583333333332,1.0,True
uci_default,19,rf,sigmoid,1.0,0.825,0.5171666666666667,0.7328333333333333,0.09216666666666666,0.07049166666666666,0.11551666666666666,0.0,False
uci_default,19,rf,sigmoid,2.0,1.3421666666666667,0.5171666666666667,0.7328333333333333,0.6093333333333333,0.5833166666666667,0.6368375000000001,0.0,False
uci_default,19,rf,isotonic,0.0,0.14716666666666667,0.6946666666666667,0.728,-0.5808333333333333,-0.5921666666666666,-0.5693291666666667,1.0,True
uci_default,19,rf,isotonic,0.5,0.4945,0.6946666666666667,0.728,-0.2335,-0.2413375,-0.22583333333333333,1.0,True
uci_default,19,rf,isotonic,1.0,0.8418333333333333,0.6946666666666667,0.728,0.11383333333333333,0.10615833333333334,0.12166666666666667,0.0,False
uci_default,19,rf,isotonic,2.0,1.5365,0.6946666666666667,0.728,0.8085,0.7929916666666667,0.8231708333333334,0.0,False
uci_default,19,et,none,0.0,0.2996666666666667,0.5011666666666666,0.694,-0.3943333333333333,-0.4225041666666667,-0.3661625,1.0,True
