dataset,model,probability_calibration,method,n_seeds,marginal_coverage_mean,marginal_coverage_ci_lo,marginal_coverage_ci_hi,coverage_class_0_mean,coverage_class_0_ci_lo,coverage_class_0_ci_hi,coverage_class_1_mean,coverage_class_1_ci_lo,coverage_class_1_ci_hi,average_set_size_mean,average_set_size_ci_lo,average_set_size_ci_hi,abstention_rate_mean,abstention_rate_ci_lo,abstention_rate_ci_hi,mean_cost_mean,mean_cost_ci_lo,mean_cost_ci_hi
uci_default,ada,sigmoid,capacity_limited_risk_controlled_rejector,10,0.8579166666666668,0.8563521110361481,0.8594812222971855,0.9839931521506526,0.9827166607642425,0.9852696435370628,0.41394122079879425,0.40626942246316095,0.42161301913442756,1.1,1.1,1.1,0.1,0.1,0.1,1.3086333333333333,1.292059614563047,1.3252070521036197
uci_default,ada,sigmoid,class_conditional_rejector,10,0.9558333333333333,0.9503280334401776,0.961338633226489,0.9998502032955274,0.9996331594093396,1.0000672471817151,0.8008289374529014,0.7761205526993409,0.8255373222064619,1.5346,1.4968006780490626,1.5723993219509373,0.5346000000000001,0.4968006780490627,0.5723993219509375,0.44061666666666666,0.3859315424470621,0.4953017908862712
uci_default,ada,sigmoid,class_weighted_threshold,10,0.41115,0.38184709361821334,0.4404529063817867,0.26300021399529216,0.22066886327789664,0.3053315647126877,0.9328560663149963,0.9154583914367515,0.9502537411932411,1.0,1.0,1.0,0.0,0.0,0.0,0.7225,0.7108183991880024,0.7341816008119977
uci_default,ada,sigmoid,confidence_rejector,10,0.9999166666666666,0.9998436217794016,0.9999897115539316,1.0,1.0,1.0,0.9996232102486813,0.999292939469789,0.9999534810275735,1.9974833333333333,1.995526087737863,1.9994405789288034,0.9974833333333333,0.995526087737863,0.9994405789288036,0.0008333333333333333,0.00010288446068340193,0.0015637822059832646
uci_default,ada,sigmoid,cost_controlled_mondrian,10,0.9904833333333334,0.9889110667615207,0.992055599905146,0.9893216349240317,0.987279782816366,0.9913634870316974,0.9945742275810099,0.9935461943854578,0.995602260776562,1.9357166666666665,1.930093517507242,1.941339815826091,0.9357166666666666,0.9300935175072422,0.941339815826091,0.020316666666666667,0.017745205353725986,0.022888127979607348
uci_default,ada,sigmoid,cost_tuned_threshold,10,0.40700000000000003,0.37943084715407505,0.434569152845925,0.2575005349882303,0.21750086918293512,0.29750020079352546,0.9334589299171062,0.9163144440282415,0.950603415805971,1.0,1.0,1.0,0.0,0.0,0.0,0.72545,0.7128030301662688,0.7380969698337313
uci_default,ada,sigmoid,marginal_cp,10,0.9037666666666666,0.8995344873897339,0.9079988459435994,0.9941793280547827,0.9932273854831335,0.9951312706264319,0.585380557648832,0.5674932787300404,0.6032678365676236,1.2538666666666667,1.240425719323511,1.2673076140098223,0.25386666666666663,0.24042571932351103,0.2673076140098222,0.9215333333333333,0.8817500419985016,0.961316624668165
uci_default,ada,sigmoid,mondrian_cp,10,0.9060333333333335,0.9019114034485212,0.9101552632181458,0.9059062700620586,0.8995773112569678,0.9122352288671494,0.9064807837226827,0.8959248556593369,0.9170367117860285,1.5495833333333333,1.5348017518930224,1.5643649147736443,0.5495833333333333,0.5348017518930225,0.5643649147736441,0.2801166666666667,0.2590983439357789,0.30113498939755445
uci_default,ada,sigmoid,random_oversampling_threshold,10,0.41421666666666673,0.39118224975374016,0.4372510835795933,0.2680719024181468,0.23491369281992053,0.3012301120163731,0.9288620949510173,0.9152194285360458,0.9425047613659889,1.0,1.0,1.0,0.0,0.0,0.0,0.7273833333333333,0.7162941827663919,0.7384724839002746
uci_default,ada,sigmoid,raps_cp,10,0.9019666666666666,0.8993106704596189,0.9046226628737143,0.9863257008345816,0.9849580592015117,0.9876933424676515,0.6048982667671439,0.593788310338897,0.6160082231953907,1.3313,1.3208159959208867,1.3417840040791131,0.33130000000000004,0.3208159959208867,0.34178400407911336,0.8844833333333334,0.8599127081645432,0.9090539585021236
uci_default,ada,sigmoid,risk_controlled_rejector,10,0.9048499999999999,0.9002357698955523,0.9094642301044475,0.9944575219345173,0.9935547979463178,0.9953602459227168,0.5892991710625471,0.5697526462401752,0.6088456958849191,1.258,1.2425738605679264,1.2734261394320736,0.258,0.24257386056792635,0.27342613943207367,0.9126499999999999,0.8691707757465819,0.9561292242534178
uci_default,ada,sigmoid,smote_threshold,10,0.32166666666666666,0.26949631930627715,0.37383701402705616,0.14215707254440405,0.06837825646766016,0.21593588862114793,0.9538055764883195,0.9297181396390806,0.9778930133375585,1.0,1.0,1.0,0.0,0.0,0.0,0.7702833333333332,0.7628411860227384,0.777725480643928
uci_default,et,isotonic,aps_cp,10,0.9012,0.8975058571819036,0.9048941428180964,0.9700620586347102,0.9670998953071797,0.9730242219622407,0.6587038432554635,0.6450394288769324,0.6723682576339945,1.3373833333333334,1.3211916580740002,1.3535750085926666,0.3573833333333333,0.3402607468479153,0.37450591981875125,0.7599000000000001,0.7284960140266823,0.791303985973318
uci_default,et,isotonic,capacity_limited_aps,10,0.859,0.8574647052802333,0.8605352947197666,0.9708752407447034,0.9678607487296806,0.9738897327597262,0.4650339110776187,0.4556009037731209,0.4744669183821165,1.1,1.1,1.1,0.1,0.1,0.1,1.2058499999999999,1.1867270246013135,1.2249729753986862
uci_default,et,isotonic,capacity_limited_class_conditional_rejector,10,0.8612499999999998,0.8595538130635283,0.8629461869364714,0.9716028247378559,0.9690346887867247,0.974170960688987,0.4726450640542577,0.463121652073499,0.48216847603501645,1.1,1.1,1.1,0.1,0.1,0.1,1.18845,1.1686501161981213,1.2082498838018787
uci_default,et,isotonic,capacity_limited_confidence_rejector,10,0.8610333333333333,0.8593735008860404,0.8626931657806263,0.9713032313289107,0.9686798230735177,0.9739266395843037,0.47272042200452147,0.4631506714372577,0.48229017257178525,1.1,1.1,1.1,0.1,0.1,0.1,1.1885166666666667,1.168688813245062,1.2083445200882714
