dataset,model,probability_calibration,marginal_minority_coverage,mondrian_minority_coverage,coverage_gain,mondrian_abstention,mondrian_cost,break_even_defer_cost,failure_mode
mammography,gb,sigmoid,0.0,0.9288461538461539,0.9288461538461539,0.34653553866785874,0.09499329459097006,0.0,low_review_cost_tolerance
mammography,gb,none,0.1576923076923077,0.9211538461538463,0.7634615384615386,0.3395619132767099,0.09606616003576217,0.0,low_review_cost_tolerance
mammography,rf,none,0.046153846153846156,0.9365384615384615,0.8903846153846153,0.33129190880643716,0.09789897183728206,0.0,low_review_cost_tolerance
mammography,rf,sigmoid,0.0,0.9288461538461539,0.9288461538461539,0.32373714796602593,0.1021904336164506,0.0,low_review_cost_tolerance
wilt,rf,isotonic,0.5115384615384615,0.971153846153846,0.45961538461538454,0.3165289256198347,0.0527892561983471,0.07865535248041776,low_review_cost_tolerance
mammography,et,none,0.0,0.925,0.925,0.30518551631649526,0.09472507822977201,0.0,low_review_cost_tolerance
wilt,hgb,isotonic,0.4807692307692307,0.973076923076923,0.4923076923076922,0.2987603305785124,0.062499999999999986,0.028354080221300135,low_review_cost_tolerance
aps_failure,gnb,sigmoid,0.0,0.9196363636363637,0.9196363636363637,0.2866776315789473,0.048967105263157895,0.023453815261044172,low_review_cost_tolerance
wilt,gb,isotonic,0.5115384615384616,0.976923076923077,0.4653846153846154,0.27055785123966947,0.036570247933884296,0.1508209240168003,low_review_cost_tolerance
mammography,et,sigmoid,0.0,0.923076923076923,0.923076923076923,0.2594546267322307,0.09628967367009388,0.0,low_review_cost_tolerance
fraud,rf,sigmoid,0.0,0.8939393939393939,0.8939393939393939,0.2290070573364699,0.03760226115656052,0.0,low_review_cost_tolerance
wilt,logreg,isotonic,0.10192307692307692,0.9519230769230769,0.85,0.22066115702479344,0.0784090909090909,0.15121722846441948,low_review_cost_tolerance
sick_numeric,ada,isotonic,0.12391304347826086,0.9521739130434783,0.8282608695652175,0.207682119205298,0.07496688741721855,0.16326530612244902,low_review_cost_tolerance
sick_numeric,rf,isotonic,0.5456521739130434,0.9499999999999998,0.4043478260869564,0.1694039735099338,0.057350993377483436,0.1673182173573104,low_review_cost_tolerance
fraud,et,none,0.0,0.8737373737373737,0.8737373737373737,0.16508900670622523,0.02061900916400407,0.0,low_review_cost_tolerance
fraud,gnb,isotonic,0.0,0.9070707070707071,0.9070707070707071,0.15469786875460834,0.04308837470594431,0.0,low_review_cost_tolerance
fraud,rf,none,0.00101010101010101,0.8808080808080808,0.8797979797979798,0.1489484217548541,0.0275569678030968,0.0,low_review_cost_tolerance
