dataset,seed,model,probability_calibration,method,fn_cost,fp_cost,defer_cost,threshold,marginal_coverage,coverage_class_0,coverage_class_1,average_set_size,abstention_rate,mean_cost,mean_cost_automated_only
uci_default,7,hgb,none,mondrian_cp,20.0,1.0,0.25,,0.9038333333333334,0.9015621656323561,0.9118311981914092,1.5258333333333334,0.5258333333333334,0.598125,0.984182776801406
uci_default,7,hgb,none,cost_tuned_threshold,20.0,1.0,0.25,0.034,0.2395,0.02418146800770383,0.9977392614920875,1.0,0.0,0.77,0.77
uci_default,7,hgb,none,mondrian_cp,20.0,1.0,0.5,,0.9038333333333334,0.9015621656323561,0.9118311981914092,1.5258333333333334,0.5258333333333334,0.7295833333333334,0.984182776801406
uci_default,7,hgb,none,cost_tuned_threshold,20.0,1.0,0.5,0.034,0.2395,0.02418146800770383,0.9977392614920875,1.0,0.0,0.77,0.77
uci_default,7,hgb,none,mondrian_cp,20.0,1.0,1.0,,0.9038333333333334,0.9015621656323561,0.9118311981914092,1.5258333333333334,0.5258333333333334,0.9925,0.984182776801406
uci_default,7,hgb,none,cost_tuned_threshold,20.0,1.0,1.0,0.034,0.2395,0.02418146800770383,0.9977392614920875,1.0,0.0,0.77,0.77
uci_default,7,hgb,sigmoid,mondrian_cp,5.0,1.0,0.0,,0.9035,0.9017761609244597,0.9095704596834966,1.5193333333333334,0.5193333333333333,0.1765,0.3671983356449376
uci_default,7,hgb,sigmoid,cost_tuned_threshold,5.0,1.0,0.0,0.188,0.7543333333333333,0.7853627220201156,0.6450640542577242,1.0,0.0,0.5596666666666666,0.5596666666666666
uci_default,7,hgb,sigmoid,mondrian_cp,5.0,1.0,0.25,,0.9035,0.9017761609244597,0.9095704596834966,1.5193333333333334,0.5193333333333333,0.30633333333333335,0.3671983356449376
uci_default,7,hgb,sigmoid,cost_tuned_threshold,5.0,1.0,0.25,0.188,0.7543333333333333,0.7853627220201156,0.6450640542577242,1.0,0.0,0.5596666666666666,0.5596666666666666
uci_default,7,hgb,sigmoid,mondrian_cp,5.0,1.0,0.5,,0.9035,0.9017761609244597,0.9095704596834966,1.5193333333333334,0.5193333333333333,0.43616666666666665,0.3671983356449376
uci_default,7,hgb,sigmoid,cost_tuned_threshold,5.0,1.0,0.5,0.188,0.7543333333333333,0.7853627220201156,0.6450640542577242,1.0,0.0,0.5596666666666666,0.5596666666666666
uci_default,7,hgb,sigmoid,mondrian_cp,5.0,1.0,1.0,,0.9035,0.9017761609244597,0.9095704596834966,1.5193333333333334,0.5193333333333333,0.6958333333333333,0.3671983356449376
uci_default,7,hgb,sigmoid,cost_tuned_threshold,5.0,1.0,1.0,0.188,0.7543333333333333,0.7853627220201156,0.6450640542577242,1.0,0.0,0.5596666666666666,0.5596666666666666
uci_default,7,hgb,sigmoid,mondrian_cp,10.0,1.0,0.0,,0.9035,0.9017761609244597,0.9095704596834966,1.5193333333333334,0.5193333333333333,0.2765,0.5752427184466019
uci_default,7,hgb,sigmoid,cost_tuned_threshold,10.0,1.0,0.0,0.096,0.356,0.18446394179328054,0.960060286360211,1.0,0.0,0.7235,0.7235
uci_default,7,hgb,sigmoid,mondrian_cp,10.0,1.0,0.25,,0.9035,0.9017761609244597,0.9095704596834966,1.5193333333333334,0.5193333333333333,0.4063333333333333,0.5752427184466019
uci_default,7,hgb,sigmoid,cost_tuned_threshold,10.0,1.0,0.25,0.096,0.356,0.18446394179328054,0.960060286360211,1.0,0.0,0.7235,0.7235
uci_default,7,hgb,sigmoid,mondrian_cp,10.0,1.0,0.5,,0.9035,0.9017761609244597,0.9095704596834966,1.5193333333333334,0.5193333333333333,0.5361666666666667,0.5752427184466019
