model,probability_calibration,method,marginal_coverage_mean,coverage_class_1_mean,average_set_size_mean,abstention_rate_mean,mean_cost_mean,cost_rank,minority_coverage_rank
et,isotonic,risk_controlled_rejector,0.9461289039755069,0.5353635835110551,1.0692545033119478,0.06925450331194778,0.427213427590316,2.6666666666666665,2.6333333333333333
et,isotonic,smote_threshold,0.7952813799373131,0.8290453711671351,1.0,0.0,0.3142605654150829,2.7333333333333334,3.3333333333333335
et,none,aps_cp,0.9008642935112586,0.6299399819917023,1.0748097013149285,0.19729013501739884,0.34352736751604546,4.133333333333334,3.8
et,none,capacity_limited_aps,0.9170823526561515,0.5769039863009293,1.041013661214571,0.099139524658381,0.47763518128913,3.8666666666666667,4.066666666666666
et,none,capacity_limited_class_conditional_rejector,0.9325704369402419,0.3800001318635969,1.0290722686872458,0.02907226868724566,0.6096906313210873,5.066666666666666,5.433333333333334
et,none,capacity_limited_confidence_rejector,0.9510472299148599,0.6777424182671481,1.0983783019473792,0.09837830194737915,0.4345439417865353,3.1333333333333333,3.6666666666666665
et,none,capacity_limited_mondrian,0.8839200278616156,0.7788981265144032,1.0410854006829207,0.08448206068030242,0.34699528547559927,3.2666666666666666,3.9
et,none,capacity_limited_raps,0.8968403585376449,0.48753986122814186,1.0031784489725222,0.08933676033666473,0.5335024935969105,4.333333333333333,4.666666666666667
et,none,capacity_limited_risk_controlled_rejector,0.9304998379099513,0.3766706847095164,1.0221791102911364,0.02217911029113638,0.6149249601496349,5.333333333333333,5.7
et,none,class_conditional_rejector,0.9499866013378261,0.4310121167215266,1.091828365296702,0.09182836529670188,0.469904933706183,5.333333333333333,5.566666666666666
et,none,class_weighted_threshold,0.8025435147625196,0.8356651545830329,1.0,0.0,0.309823764334172,3.0,3.433333333333333
et,none,confidence_rejector,0.9978313034840427,0.9680209654262131,1.625887161215123,0.625887161215123,0.021673125925343893,4.733333333333333,4.966666666666667
et,none,cost_controlled_mondrian,0.983987565237897,0.9591470205514916,1.547215422815701,0.55580753636212,0.03762662388974966,4.466666666666667,4.533333333333333
et,none,cost_tuned_threshold,0.8007469133952471,0.8403927430003164,1.0,0.0,0.3028007115504671,2.466666666666667,2.6666666666666665
et,none,marginal_cp,0.9020221026735815,0.21465938740783488,0.9997552068450412,0.10424028380954821,0.4163710927219753,4.066666666666666,6.466666666666667
et,none,mondrian_cp,0.9032372981520655,0.9081501128860069,1.231739510900268,0.2754304830479939,0.1523510218193797,3.8,4.6
et,none,random_oversampling_threshold,0.798831984473745,0.825255614082297,1.0,0.0,0.3138953943166001,3.066666666666667,3.4
