dataset,model,probability_calibration,defer_cost,n_seeds,mondrian_cost,mondrian_abstain,threshold_cost,cost_diff,cost_diff_ci_lo,cost_diff_ci_hi,p_mondrian_cheaper,mondrian_wins
sick_numeric,rf,isotonic,1.0,10,0.2267549668874172,0.1694039735099338,0.08569536423841059,0.1410596026490066,-0.019711213784426862,0.30183041908244007,0.08360000000000001,False
sick_numeric,rf,isotonic,2.0,10,0.396158940397351,0.1694039735099338,0.08569536423841059,0.3104635761589404,-0.019779201964322313,0.6407063542822031,0.0417,False
sick_numeric,rf,none,0.0,10,0.051258278145695356,0.06900662251655629,0.08211920529801324,-0.03086092715231788,-0.059836454334485006,-0.0018853999701507508,0.807,True
sick_numeric,rf,none,0.5,10,0.08576158940397352,0.06900662251655629,0.08211920529801324,0.0036423841059602655,-0.018267397643785807,0.02555216585570634,0.3733,False
sick_numeric,rf,none,1.0,10,0.12026490066225166,0.06900662251655629,0.08211920529801324,0.03814569536423841,0.01619668756169475,0.060094703166782074,0.15869999999999998,False
sick_numeric,rf,none,2.0,10,0.18927152317880794,0.06900662251655629,0.08211920529801324,0.10715231788079471,0.06754185339250321,0.14676278236908621,0.0273,False
sick_numeric,rf,sigmoid,0.0,10,0.06344370860927152,0.07615894039735098,0.08887417218543046,-0.02543046357615894,-0.055553321346274075,0.004692394193956194,0.7344,True
sick_numeric,rf,sigmoid,0.5,10,0.101523178807947,0.07615894039735098,0.08887417218543046,0.012649006622516553,-0.01748394832882495,0.04278196157385805,0.3144,False
sick_numeric,rf,sigmoid,1.0,10,0.13960264900662253,0.07615894039735098,0.08887417218543046,0.05072847682119206,0.016381804726337768,0.08507514891604635,0.1426,False
sick_numeric,rf,sigmoid,2.0,10,0.2157615894039735,0.07615894039735098,0.08887417218543046,0.12688741721854307,0.07652509805165202,0.17724973638543412,0.0227,False
uci_default,ada,isotonic,0.0,10,0.19736666666666663,0.6360999999999999,0.7281833333333333,-0.5308166666666667,-0.5703144792449493,-0.49131885408838416,1.0,True
uci_default,ada,isotonic,0.5,10,0.5154166666666666,0.6360999999999999,0.7281833333333333,-0.2127666666666667,-0.23271563117953808,-0.1928177021537953,1.0,True
uci_default,ada,isotonic,1.0,10,0.8334666666666666,0.6360999999999999,0.7281833333333333,0.10528333333333333,0.09550379555991437,0.11506287110675228,0.0,False
uci_default,ada,isotonic,2.0,10,1.4695666666666665,0.6360999999999999,0.7281833333333333,0.7413833333333333,0.695881923809107,0.7868847428575596,0.0,False
uci_default,ada,none,0.0,10,0.2745833333333333,0.5519000000000001,0.7183833333333334,-0.4438,-0.45379417315671583,-0.4338058268432841,1.0,True
uci_default,ada,none,0.5,10,0.5505333333333333,0.5519000000000001,0.7183833333333334,-0.16785,-0.1750049943499732,-0.1606950056500268,1.0,True
uci_default,ada,none,1.0,10,0.8264833333333333,0.5519000000000001,0.7183833333333334,0.1081,0.10217016264458051,0.1140298373554195,0.0,False
uci_default,ada,none,2.0,10,1.3783833333333333,0.5519000000000001,0.7183833333333334,0.6599999999999999,0.649946305930433,0.6700536940695668,0.0,False
uci_default,ada,sigmoid,0.0,10,0.2801166666666667,0.5495833333333333,0.72545,-0.4453333333333334,-0.46110651939444736,-0.4295601472722195,1.0,True
uci_default,ada,sigmoid,0.5,10,0.5549083333333333,0.5495833333333333,0.72545,-0.17054166666666667,-0.1809036116584308,-0.16017972167490255,1.0,True
uci_default,ada,sigmoid,1.0,10,0.8297000000000001,0.5495833333333333,0.72545,0.10425,0.09557855349757352,0.11292144650242647,0.0,False
uci_default,ada,sigmoid,2.0,10,1.3792833333333332,0.5495833333333333,0.72545,0.6538333333333334,0.6354326575271719,0.6722340091394948,0.0,False
uci_default,et,isotonic,0.0,10,0.23169999999999996,0.5930166666666666,0.7206166666666667,-0.4889166666666667,-0.5277202806163436,-0.45011305271698987,1.0,True
uci_default,et,isotonic,0.5,10,0.5282083333333334,0.5930166666666666,0.7206166666666667,-0.19240833333333335,-0.20932015636149334,-0.17549651030517335,1.0,True
uci_default,et,isotonic,1.0,10,0.8247166666666667,0.5930166666666666,0.7206166666666667,0.1041,0.09623128776124731,0.11196871223875268,0.0,False
uci_default,et,isotonic,2.0,10,1.4177333333333333,0.5930166666666666,0.7206166666666667,0.6971166666666667,0.646120754130876,0.7481125792024574,0.0,False
uci_default,et,none,0.0,10,0.2875166666666667,0.5180333333333332,0.71205,-0.4245333333333333,-0.44223538496305226,-0.4068312817036144,1.0,True
uci_default,et,none,0.5,10,0.5465333333333333,0.5180333333333332,0.71205,-0.16551666666666667,-0.17544697513973892,-0.15558635819359443,1.0,True
uci_default,et,none,1.0,10,0.80555,0.5180333333333332,0.71205,0.0935,0.08906406392191131,0.09793593607808869,0.0,False
uci_default,et,none,2.0,10,1.3235833333333331,0.5180333333333332,0.71205,0.6115333333333333,0.5951240415121097,0.6279426251545568,0.0,False
uci_default,et,sigmoid,0.0,10,0.28765,0.5222166666666667,0.7242,-0.43655,-0.4581589471878641,-0.4149410528121359,1.0,True
uci_default,et,sigmoid,0.5,10,0.5487583333333332,0.5222166666666667,0.7242,-0.17544166666666666,-0.18862397093000993,-0.1622593624033234,1.0,True
uci_default,et,sigmoid,1.0,10,0.8098666666666666,0.5222166666666667,0.7242,0.08566666666666667,0.07908307479176216,0.09225025854157118,0.0,False
uci_default,et,sigmoid,2.0,10,1.3320833333333333,0.5222166666666667,0.7242,0.6078833333333333,0.5914298619055558,0.6243368047611109,0.0,False
